Broken_image,ID,Make,Supername,Year,Model,Status,Real,Type,Class,Perf. Class,Max Rank,Stars,Unlock,Star Value,Category,Brand,Series,Country,Reserve List,Desc. Source,Description,Broken_Image,,_1,_2,_3,_4,_5,_6,_7,_8
FALSE,10,Alfa Romeo,,2014,4C,Rare,Real,Road,C,#REF!,,?????,Special Event,5,Modern Sports Cars,Matchbox,2015 MBX Adventure City,Italy,No,GT,The Alfa Romeo 4C is the first mass production mid-engine sports car produced by Alfa Romeo that went on sale in 2013.,,,,,,,,,,
FALSE,2587,Alfa Romeo,,2014,4C,,,,,,,,,,Modern Sports Cars,Siku,,Italy,Yes,GT,The Alfa Romeo 4C is the first mass production mid-engine sports car produced by Alfa Romeo that went on sale in 2013.,,,,,,,,,,
FALSE,1347,Alfa Romeo,,2015,4C Spider,,,Road,,,,,,,Modern Sports Cars,Majorette,Street Cars White,Italy,,,,,,,,,,,,,
FALSE,1460,Alfa Romeo,,2015,4C Spider,,,Road,,,,,,,Modern Sports Cars,Majorette,Street Cars Yellow,Italy,Yes,,,,,,,,,,,,
FALSE,1461,Alfa Romeo,,2015,4C Spider,,,Road,,,,,,,Modern Sports Cars,Majorette,Street Cars Blue,Italy,Yes,,,,,,,,,,,,
FALSE,1804,Alfa Romeo,,2015,4C Spider,,,,,,,,,,Modern Sports Cars,Majorette,Alfa Romeo Series/Gift Pack,Italy,,,,,,,,,,,,,
FALSE,2127,Alfa Romeo,,2015,4C Spider,,,,,,,,,,Modern Sports Cars,Majorette,Sports Cars,Italy,,,,,,,,,,,,,
FALSE,2321,Alfa Romeo,,2015,4C Spider,,,,,,,,,,Modern Sports Cars,Majorette,Street Cars Red,Italy,,,,,,,,,,,,,
FALSE,3508,Alfa Romeo,,1987,75 1.8i Turbo Evoluzione Rally,,,,,,,,,,,Laudoracing,,,,,,,,,,,,,,,
FALSE,1997,Alfa Romeo,,1987,75 T.Spark,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 4,Italy,,,,,,,,,,,,,
FALSE,3139,Alfa Romeo,,1987,75 T.Spark,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection,Italy,,,,,,,,,,,,,
FALSE,3577,Alfa Romeo,,1987,75 T.Spark,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 3,,,,,,,,,,,,,,
FALSE,11,Alfa Romeo,,2008,8C Competizione,Rare,Real,Road,B,#REF!,2100,????,Card Packs,4,GT Cars,Hot Wheels,,Italy,No,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,893,Alfa Romeo,,2008,8C Competizione,Special Ed.,Real,Road,B,,,,2022 Pre-Advent,,GT Cars,Hot Wheels,,Italy,No,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,1466,Alfa Romeo,,2008,8C Competizione,,,Road,B,,,,2022 Pre-Advent,,GT Cars,Hot Wheels,2023 Multipack Exclusive,Italy,,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,1960,Alfa Romeo,,2008,8C Competizione,,,Road,B,,,,2022 Pre-Advent,,GT Cars,Hot Wheels,2021 Multipack Exclusive,Italy,,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,2128,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,2023 Forza,Italy,,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,2170,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,2024 European Themed Multipack,Italy,,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,3291,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,3292,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,3293,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,3294,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,3295,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,,Hot Wheels,,,,,,,,,,,,,,,
FALSE,1799,Alfa Romeo,,2008,8C Competizione,,,Road,B,,,,2022 Pre-Advent,,GT Cars,Kyosho,Alfa Romeo Minicar Collection 1,Italy,,GT,"The return of the Alfa Romeo rear-wheel drive coup�, with top speeds exceeding 180 mph.",,,,,,,,,,
FALSE,2605,Alfa Romeo,,2008,8C Competizione,,,,,,,,,,Modern Super Cars,Unknown,"Mr DIY ""Racing Car""",Italy,,,,,,,,,,,,,
FALSE,3511,Alfa Romeo,,2010,8C Competizione Spider,,,,,,,,,,,Kyosho,,,,,,,,,,,,,,,
FALSE,1108,Alfa Romeo,,2010,8C Competizione Spider,,,Road,,,,,,,Modern Sports Cars,Kyosho,Alfa Romeo Collection,Italy,Yes,,,,,,,,,,,,
FALSE,3512,Alfa Romeo,,2010,8C Competizione Spider,,,,,,,,,,,Kyosho,,,,,,,,,,,,,,,
FALSE,3578,Alfa Romeo,,,Alfetta GTV,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection,,,,,,,,,,,,,,
FALSE,1806,Alfa Romeo,,2005,Brera,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 2,Italy,,,,,,,,,,,,,
FALSE,2346,Alfa Romeo,,1968,Carabo,,,,,,,,,,,Matchbox,1986 Super GT,,,,,,,,,,,,,,
FALSE,2325,Alfa Romeo,Zhou Guanyu's,2023,F1 Team KICK C43,,,,,,,,,,,Mini GT,#728 2023 Australian GP,,,,,,,,,,,,,,
FALSE,1249,Alfa Romeo,Valterri Bottas',2022,F1 Team ORLEN C42,,,Race,X,,,,,,Apex Open-Wheel,Sparky,#77,Italy,Yes,,,,,,,,,,,,
FALSE,1802,Alfa Romeo,,2016,Giulia,,,,,,,,,,,Majorette,Alfa Romeo Series/Gift Pack,Italy,,,,,,,,,,,,,
FALSE,1803,Alfa Romeo,,2016,Giulia,,,,,,,,,,,Majorette,Alfa Romeo Series/Gift Pack,Italy,,,,,,,,,,,,,
FALSE,2275,Alfa Romeo,,2016,Giulia,,,Road,,,,,,,,Majorette,Alfa Romeo Series,,Yes,,,,,,,,,,,,
FALSE,12,Alfa Romeo,,2016,Giulia,Rare,Real,Road,B,#REF!,,????,Card Packs,4,Super Saloons,Matchbox,2020 MBX City,Italy,No,,,,,,,,,,,,
FALSE,13,Alfa Romeo,,2016,Giulia,Special Ed.,Real,Road,B,,,????,2021 Advent,4,Super Saloons,Matchbox,2022 MBX Metro,Italy,No,,,,,,,,,,,,
FALSE,1965,Alfa Romeo,,2016,Giulia,Special Ed.,Real,Road,B,,,????,2021 Advent,4,Super Saloons,Matchbox,2023 Autobahn Express IV 5-Pack,Italy,No,,,,,,,,,,,,
FALSE,2416,Alfa Romeo,,2016,Giulia,,,,,,,,,,Super Saloons,Matchbox,2021 Collectors,,,,,,,,,,,,,,
FALSE,3284,Alfa Romeo,,2016,Giulia,,,,,,,,,,,Matchbox,,,,,,,,,,,,,,,
FALSE,3501,Alfa Romeo,,,Giulia GTAm,,,,,,,,,,,DCT,,,,,,,,,,,,,,,
FALSE,1830,Alfa Romeo,,2021,Giulia GTAm,,,Road,A,,,,,,Super Saloons,DCT,1/64,Italy,Yes,Top Gear,"The 2021 Alfa Romeo Giulia GTAm is the hardest core version of the Giulia. Only 500 of this and it's sister car, the Giulia GTA, will be made.",,,,,,,,,,
